persistence_length,num_fibers,noise_density,fov,curvature_min,curvature_max,filename,timestamp,simulation_id,repeat_id,status
17000,4,0.3,1000,0.0,0.005,network_repeat_28_comb_1.pt,2024-12-09 11:44:49,1,28,completed
,4,0.3,1000,0.0,0.005,network_repeat_29_comb_0.pt,2024-12-09 11:44:49,0,29,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_29_comb_1.pt,2024-12-09 11:44:49,1,29,completed
,4,0.3,1000,0.0,0.005,network_repeat_30_comb_0.pt,2024-12-09 11:44:50,0,30,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_30_comb_1.pt,2024-12-09 11:44:51,1,30,completed
,4,0.3,1000,0.0,0.005,network_repeat_31_comb_0.pt,2024-12-09 11:44:51,0,31,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_31_comb_1.pt,2024-12-09 11:44:51,1,31,completed
,4,0.3,1000,0.0,0.005,network_repeat_32_comb_0.pt,2024-12-09 11:44:52,0,32,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_32_comb_1.pt,2024-12-09 11:44:52,1,32,completed
,4,0.3,1000,0.0,0.005,network_repeat_33_comb_0.pt,2024-12-09 11:44:53,0,33,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_33_comb_1.pt,2024-12-09 11:44:53,1,33,completed
,4,0.3,1000,0.0,0.005,network_repeat_34_comb_0.pt,2024-12-09 11:44:54,0,34,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_34_comb_1.pt,2024-12-09 11:44:54,1,34,completed
,4,0.3,1000,0.0,0.005,network_repeat_35_comb_0.pt,2024-12-09 11:44:54,0,35,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_35_comb_1.pt,2024-12-09 11:44:55,1,35,completed
,4,0.3,1000,0.0,0.005,network_repeat_36_comb_0.pt,2024-12-09 11:44:55,0,36,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_36_comb_1.pt,2024-12-09 11:44:56,1,36,completed
,4,0.3,1000,0.0,0.005,network_repeat_37_comb_0.pt,2024-12-09 11:44:56,0,37,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_37_comb_1.pt,2024-12-09 11:44:57,1,37,completed
,4,0.3,1000,0.0,0.005,network_repeat_38_comb_0.pt,2024-12-09 11:44:57,0,38,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_38_comb_1.pt,2024-12-09 11:44:58,1,38,completed
,4,0.3,1000,0.0,0.005,network_repeat_39_comb_0.pt,2024-12-09 11:44:58,0,39,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_39_comb_1.pt,2024-12-09 11:44:59,1,39,completed
,4,0.3,1000,0.0,0.005,network_repeat_40_comb_0.pt,2024-12-09 11:44:59,0,40,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_40_comb_1.pt,2024-12-09 11:45:00,1,40,completed
,4,0.3,1000,0.0,0.005,network_repeat_41_comb_0.pt,2024-12-09 11:45:02,0,41,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_41_comb_1.pt,2024-12-09 11:45:02,1,41,completed
,4,0.3,1000,0.0,0.005,network_repeat_42_comb_0.pt,2024-12-09 11:45:03,0,42,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_42_comb_1.pt,2024-12-09 11:45:03,1,42,completed
,4,0.3,1000,0.0,0.005,network_repeat_43_comb_0.pt,2024-12-09 11:45:04,0,43,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_43_comb_1.pt,2024-12-09 11:45:05,1,43,completed
,4,0.3,1000,0.0,0.005,network_repeat_44_comb_0.pt,2024-12-09 11:45:05,0,44,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_44_comb_1.pt,2024-12-09 11:45:05,1,44,completed
,4,0.3,1000,0.0,0.005,network_repeat_45_comb_0.pt,2024-12-09 11:45:06,0,45,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_45_comb_1.pt,2024-12-09 11:45:06,1,45,completed
,4,0.3,1000,0.0,0.005,network_repeat_46_comb_0.pt,2024-12-09 11:45:07,0,46,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_46_comb_1.pt,2024-12-09 11:45:07,1,46,completed
,4,0.3,1000,0.0,0.005,network_repeat_47_comb_0.pt,2024-12-09 11:45:07,0,47,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_47_comb_1.pt,2024-12-09 11:45:08,1,47,completed
,4,0.3,1000,0.0,0.005,network_repeat_48_comb_0.pt,2024-12-09 11:45:08,0,48,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_48_comb_1.pt,2024-12-09 11:45:08,1,48,completed
,4,0.3,1000,0.0,0.005,network_repeat_49_comb_0.pt,2024-12-09 11:45:09,0,49,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_49_comb_1.pt,2024-12-09 11:45:09,1,49,completed
,4,0.3,1000,0.0,0.005,network_repeat_50_comb_0.pt,2024-12-09 11:45:10,0,50,completed
